Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
RHIROFAGUQOFLU-UHFFFAOYSA-N,-66.18197752,-0.004531459,0.428,3.4279,13.2268,-0.09425176,-0.46267261,-0.13490983,0.1267554,0.46965382,363.663,443.7554,500.40896610000004,-11.522879
RIGBPMDIGYBTBJ-UHFFFAOYSA-N,-61.27422386,-0.030795034,8.832,4.8986,13.4032,0.88164156,-1.18471669,-0.66050842,1.20218439,-0.32157357,339.88300000000004,296.3836,540.8913574,-4.21
RIZMRRKBZQXFOY-UHFFFAOYSA-N,-64.77046137,-0.018736685,7.539,4.555,13.0565,-0.85118742,-0.80796238,-0.49704319,0.36608918,-0.73872095,421.00699999999995,384.4579,661.9508057,-5.54
RJKGJBPXVHTNJL-UHFFFAOYSA-N,-35.83222538,-0.010104419,8.191,2.8964,13.405999999999999,0.55184103,-0.55026982,-0.46052570000000004,0.55184103,0.09131533,192.045,173.1708,344.504364,-3.58886
RJMIEHBSYVWVIN-UHFFFAOYSA-N,-59.00678593,-0.022043717,4.313,4.5105,12.8044,0.64007228,-1.96111678,-0.52089015,0.41715493,0.7056734,321.71299999999997,281.3104,511.53329469999994,-4.308
RJMUSRYZPJIFPJ-UHFFFAOYSA-N,-62.94571695,-0.020427468,7.1129999999999995,2.7995,13.2774,0.58033467,-1.98217277,-0.46759799,0.56900027,0.78006278,323.932,327.1232,506.5467529,-4.7
RJNJWHFSKNJCTB-UHFFFAOYSA-N,-32.02890556,-0.015870411,6.204,5.6325,13.1076,0.0,-0.94466059,-0.59561071,0.33633947,0.29688497,184.141,150.1798,355.49423219999994,-0.95
RJTJVVYSTUQWNI-UHFFFAOYSA-N,-31.64882297,-0.002013426,0.746,4.8659,12.67,0.0,-0.39342528,-0.1060424,0.04335298,0.0,206.014,156.2268,370.9074402,-4.29
RJUFJBKOKNCXHH-UHFFFAOYSA-N,-20.70753382,-0.006609319000000001,2.758,5.3562,14.0425,0.36246100000000003,-0.84325644,-0.47736459,0.36246100000000003,0.36246100000000003,115.984,88.10600000000001,266.5195923,-0.14
RKUNBYITZUJHSG-LGGPCSOHSA-N,-62.98335797,-0.016008493999999998,1.2209999999999999,5.2449,12.1225,0.46182501,-1.69514377,-0.51950161,0.3738278,0.49991425,357.25800000000004,289.3736,529.9377441,-1.724
RKWGIWYCVPQPMF-UHFFFAOYSA-N,-53.75797388,-0.028834473,8.0,4.4169,13.5954,0.90016429,-0.90257432,-0.64738048,1.20617745,-0.36345423,290.356,276.7373,486.83789060000004,-3.12561
