Compound,G_sol,DeltaG_sol,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,volume,LogS,Lsolu_Hsolv,Lsolv_Hsolu
IYXGSMUGOJNHAZ-UHFFFAOYSA-N,-26233.4236,774.3685,3.97285,-1.4051,0.6107,-0.43811000000000005,0.41325,-1.4051,160.1694,386.00811769999996,193.24099999999999,-0.82,13.253,15.103
IZNWACYOILBFEG-UHFFFAOYSA-N,-24195.6525,-101.6368,6.4637,-1.27475,-1.0387600000000001,-0.63813,1.36057,0.08582000000000001,187.1976,368.846344,217.808,-4.272,11.183,13.604000000000001
JAYCNKDKIKZTAF-UHFFFAOYSA-N,-24782.6778,497.7823,1.85995,0.0,-1.07544,-0.11164,0.12622,0.10264000000000001,223.1012,400.2556458,241.513,-5.27,12.011,13.67
JBDOSUUXMYMWQH-UHFFFAOYSA-N,-24342.1831,658.3238,3.6367,0.0,-0.94105,-0.11702,0.12754000000000001,0.09407,185.243,378.7547302,214.86900000000003,-4.6,10.877,12.614
JFCQEDHGNNZCLN-UHFFFAOYSA-N,-21916.1474,41.522,4.50125,-1.61638,0.55809,-0.4858,0.43454,-1.61638,132.1158,307.78289789999997,152.966,1.0,13.364,15.640999999999998
JFNWFXVFBDDWCX-UHFFFAOYSA-N,-29204.9757,-138.6019,11.4076,-2.17706,-1.35125,-0.90453,2.43465,0.04199,309.3392,516.9658813,334.439,-3.59,11.49,12.627
JFSPBVWPKOEZCB-UHFFFAOYSA-N,-25193.2162,-228.7282,4.2551,-0.5393100000000001,-0.87045,-0.5001800000000001,0.32541,-0.37895,201.2244,415.3181763,235.415,-3.3,12.210999999999999,13.100999999999999
JHBKHLUZVFWLAG-UHFFFAOYSA-N,-22024.8101,-25.4374,0.00258564,0.0,-0.63173,-0.11985,0.14399,0.34384000000000003,215.8938,332.57015989999996,196.43,-5.512673,11.696,13.65
JHIVVAPYMSGYDF-UHFFFAOYSA-N,-19364.0829,-8.7643,3.55369,-0.40471,-0.30141999999999997,-0.40471,0.32232,-0.40471,98.1444,275.71688839999996,131.80100000000002,-0.6,13.026,14.865
JHJOOSLFWRRSGU-UHFFFAOYSA-N,-29236.9854,-299.6495,6.27471,-1.7366599999999999,-0.19445,-1.03931,2.13742,-0.37505,321.5422,471.49621579999996,305.084,-5.72,10.91,13.542
JIEKMACRVQTPRC-UHFFFAOYSA-N,-31148.7169,307.9632,2.90828,-0.7808,-1.09564,-0.46508999999999995,0.42313999999999996,-0.5138,329.8003,546.2109375,355.13800000000003,-4.966,11.062999999999999,13.411
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,-20705.1196,198.5736,1.91117,-0.73945,0.14582,-0.4782,0.44982,-0.73945,100.117,288.3949585,132.209,-0.74,12.292,15.114
JIVPVXMEBJLZRO-UHFFFAOYSA-N,-29785.3115,-154.1011,8.99152,-2.71155,-0.8463,-0.9344,2.42125,-0.69392,338.7649,514.914917,339.23900000000003,-3.38927,11.63,13.997
JJYPMNFTHPTTDI-UHFFFAOYSA-N,-19762.6771,40.1289,2.10489,0.0,-0.84152,-0.22526,0.12584,0.07967,107.1548,295.324646,143.15200000000002,-0.85,12.73,12.275
